year,state_abbr,state_fips,state_name,fatal_shootings,population,fatal_shootings_per_100k,fatal_shootings_per_1m,unarmed_count,unarmed_per_1m,armed_with_gun_count,armed_with_gun_per_1m,mental_illness_related_count,mental_illness_related_per_1m,body_camera_count,body_camera_per_1m,race_known_count,race_missing_count,population_source_vintage,population_source_url
2016,PA,42,Pennsylvania,22,12782275,0.1721,1.7211,2,0.1565,11,0.8606,8,0.6259,0,0.0,20,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,RI,44,Rhode Island,2,1056770,0.1893,1.8926,0,0.0,1,0.9463,0,0.0,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,SC,45,South Carolina,17,4957968,0.3429,3.4288,1,0.2017,13,2.622,3,0.6051,4,0.8068,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,SD,46,South Dakota,4,862996,0.4635,4.635,1,1.1588,2,2.3175,1,1.1588,1,1.1588,4,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,TN,47,Tennessee,22,6646010,0.331,3.3103,1,0.1505,13,1.9561,4,0.6019,7,1.0533,21,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,TX,48,Texas,81,27914410,0.2902,2.9017,8,0.2866,55,1.9703,18,0.6448,9,0.3224,81,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,UT,49,Utah,8,3041868,0.263,2.63,0,0.0,4,1.315,3,0.9862,1,0.3287,8,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,VA,51,Virginia,17,8410106,0.2021,2.0214,1,0.1189,9,1.0701,9,1.0701,5,0.5945,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,VT,50,Vermont,2,623657,0.3207,3.2069,1,1.6034,0,0.0,1,1.6034,2,3.2069,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,WA,53,Washington,26,7294771,0.3564,3.5642,0,0.0,12,1.645,11,1.5079,2,0.2742,24,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,WI,55,Wisconsin,17,5772628,0.2945,2.9449,1,0.1732,8,1.3859,5,0.8662,5,0.8662,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,WV,54,West Virginia,12,1831023,0.6554,6.5537,0,0.0,8,4.3691,4,2.1846,2,1.0923,11,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,WY,56,Wyoming,2,584215,0.3423,3.4234,0,0.0,1,1.7117,1,1.7117,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,AK,02,Alaska,8,739700,1.0815,10.8152,1,1.3519,7,9.4633,2,2.7038,2,2.7038,8,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,AL,01,Alabama,25,4874486,0.5129,5.1287,2,0.4103,14,2.8721,5,1.0257,1,0.2051,20,5,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,AR,05,Arkansas,12,3001345,0.3998,3.9982,0,0.0,6,1.9991,1,0.3332,2,0.6664,10,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,AZ,04,Arizona,44,7044008,0.6246,6.2464,2,0.2839,27,3.833,6,0.8518,4,0.5679,41,3,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,CA,06,California,160,39358497,0.4065,4.0652,11,0.2795,78,1.9818,36,0.9147,15,0.3811,147,13,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,CO,08,Colorado,31,5611885,0.5524,5.524,3,0.5346,21,3.7421,6,1.0692,4,0.7128,27,4,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
