agency_id,agency_name,agency_type,agency_state_abbr,agency_state_fips,agency_state_name,ori_codes,ori_code_count,agency_total_shootings_original
10108,Elko Police Department,local_police,NV,32,Nevada,NV00401,1,1
2591,Elkton Police Department,local_police,KY,21,Kentucky,KY11001,1,1
1497,Elkton Police Department,local_police,MD,24,Maryland,MD00804,1,2
1411,Ellis County Sheriff's Office,sheriff,KS,20,Kansas,KS02600,1,1
1875,El Mirage Police Department,local_police,AZ,04,Arizona,AZ00707,1,3
1927,Elmira Police Department,local_police,NY,36,New York,NY00701,1,3
825,El Monte Police Department,local_police,CA,06,California,CA01922,1,6
1394,Elmore County Sheriff's Department,sheriff,ID,16,Idaho,ID02000,1,3
2374,Elmore County Sheriff's Office,sheriff,AL,01,Alabama,AL02900,1,3
2918,Elmwood Place Police Department,local_police,OH,39,Ohio,OH03109,1,1
2788,El Paso County Sheriff's Department,sheriff,TX,48,Texas,TX07100,1,5
1495,El Paso County Sheriff's Office,sheriff,CO,08,Colorado,CO02100,1,9
10018,El Paso Independent School District Police Department,local_other,TX,48,Texas,TX07113,1,1
110,El Paso Police Department,local_police,TX,48,Texas,TX07102,1,20
1617,El Segundo Police Department,local_police,CA,06,California,CA01923,1,1
697,Elsmere Police Department,local_police,KY,21,Kentucky,KY05902,1,1
2520,Elyria Police Department,local_police,OH,39,Ohio,OH04704,1,1
857,Emerson Police Department,local_police,GA,13,Georgia,GA00806,1,1
2659,Emery County Sheriff's Office,sheriff,UT,49,Utah,UT00800,1,1
307,Emeryville Police Department,local_police,CA,06,California,CA00104,1,1
289,England Police Department,local_police,AR,05,Arkansas,AR04301,1,1
1679,Englewood Police Department,local_police,CO,08,Colorado,CO00301,1,6
3564,Englewood Police Department,local_police,NJ,34,New Jersey,NJ00215,1,1
1640,Englewood Police Department,local_police,OH,39,Ohio,OH05718,1,1
10252,English Police Department,local_police,IN,18,Indiana,,0,1
2302,Enid Police Department,local_police,OK,40,Oklahoma,OK02401,1,1
1436,Ennis Police Department,local_police,TX,48,Texas,TX07001,1,1
10263,Enterprise Police Department,local_police,MS,28,Mississippi,,0,1
1926,Erie Police Department,local_police,PA,42,Pennsylvania,PA02502,1,1
10304,Erwin Police Department,local_police,TN,47,Tennessee,TN08601,1,1
2498,Escalon Police Department,local_police,CA,06,California,CA03901,1,1
1080,Escambia County Sheriff's Office,sheriff,FL,12,Florida,FL01700,1,12
1687,Escondido Police Department,local_police,CA,06,California,CA03706,1,6
3259,Esmeralda County Sheriff's Office,sheriff,NV,32,Nevada,NV00500,1,1
3138,Espanola Police Department,local_police,NM,35,New Mexico,NM02101,1,2
1852,Essex County Sheriff's Department,sheriff,NJ,34,New Jersey,NJ00700,1,1
3616,Etowah County Sheriff's Office,sheriff,AL,01,Alabama,AL03100,1,1
1688,Euclid Police Department,local_police,OH,39,Ohio,OH01818,1,1
1289,Eufaula Police Department,local_police,AL,01,Alabama,AL00601,1,1
14,Eugene Police Department,local_police,OR,41,Oregon,OR02002,1,5
1142,Euless Police Department,local_police,TX,48,Texas,TX22009,1,2
3329,Eureka County Sheriff's Department,sheriff,NV,32,Nevada,NV00600,1,1
2872,Eureka Police Department,local_police,CA,06,California,CA01203,1,2
10373,Eureka Springs Police Department,local_police,AR,05,Arkansas,AR00802,1,1
2239,Eustis Police Department,local_police,FL,12,Florida,FL03501,1,1
3538,Eutawville Police Department,local_police,SC,45,South Carolina,SC03806,1,1
1800,Evangeline Parish Sheriff's Office,sheriff,LA,22,Louisiana,LA02000,1,1
2801,Evans County Sheriff's Department,sheriff,GA,13,Georgia,GA05400,1,3
473,Evans Police Department,local_police,CO,08,Colorado,CO06204,1,3
3061,Evanston Police Department,local_police,IL,17,Illinois,IL01632,1,1
1172,Evansville Police Department,local_police,IN,18,Indiana,IN08201,1,15
1709,Everest Metropolitan Police Department,local_police,WI,55,Wisconsin,WI03713,1,2
1233,Everett Police Department,local_police,MA,25,Massachusetts,MA00917,1,2
1869,Everett Police Department,local_police,WA,53,Washington,WA03103,1,4
3630,Excelsior Springs Police Department,local_police,MO,29,Missouri,MO02403,1,1
3058,Fairbanks International Airport Police Department,local_other,AK,02,Alaska,AK00126,1,1
776,Fairbanks Police Department,local_police,AK,02,Alaska,AK00102,1,7
1125,Fairborn Police Department,local_police,OH,39,Ohio,OH02901,1,1
1612,Fairfax County Police Department,local_police,VA,51,Virginia,VA02901,1,6
1407,Fairfax County Sheriff's Office,sheriff,VA,51,Virginia,VA02901,1,1
1669,Fairfax Police Department,local_police,OK,40,Oklahoma,OK05702,1,1
114,Fairfield Police Department,local_police,CA,06,California,CA04803,1,4
1330,Fairfield Police Department,local_police,CT,09,Connecticut,CT00051,1,1
2800,Fairfield Police Department,local_police,NJ,34,New Jersey,NJ00704,1,1
2221,Fairfield Police Department,local_police,OH,39,Ohio,OH00901,1,2
2468,Fairfield Police Department,local_police,TX,48,Texas,TX08101,1,1
10462,Fairhaven Police Department,local_police,MA,25,Massachusetts,MA00307,1,1
10424,Fair Haven Police Department,local_police,VT,50,Vermont,VT01104,1,1
1930,Fairhope Police Department,local_police,AL,01,Alabama,AL00502,1,1
2039,Fairmont Police Department,local_police,MN,27,Minnesota,MN04601,1,1
10468,Fairmont Police Department,local_police,NC,37,North Carolina,NC07805,1,1
1897,Fairview Police Department,local_police,TN,47,Tennessee,TN09402,1,2
10497,Fairway Police Department,local_police,KS,20,Kansas,KS04601,1,1
1948,Fall River Police Department,local_police,MA,25,Massachusetts,MA00308,1,2
1871,Fall River Police Department,local_police,RI,44,Rhode Island,MA00308,1,1
3207,Falls Township Police Department,local_police,PA,42,Pennsylvania,PA00905,1,1
3237,Falmouth Police Department,local_police,ME,23,Maine,ME00303,1,1
2099,Fargo Police Department,local_police,ND,38,North Dakota,ND00902,1,5
1167,Farmers Branch Police Department,local_police,TX,48,Texas,TX05710,1,3
1390,Farmington Hills Police Department,local_police,MI,26,Michigan,MI63389,1,1
1997,Farmington Police Department,local_police,NM,35,New Mexico,NM02402,1,8
2977,Farmington Police Department,local_police,UT,49,Utah,UT00605,1,2
2663,Farmland Police Department,local_police,IN,18,Indiana,,0,1
10570,Faulkner County Sheriff's Office,sheriff,AR,05,Arkansas,AR02300,1,1
2284,Fayette County Sheriff's Department,sheriff,OH,39,Ohio,OH02400,1,2
3004,Fayette County Sheriff's Office,sheriff,GA,13,Georgia,GA05600,1,2
1256,Fayetteville Police Department,local_police,AR,05,Arkansas,AR07201,1,2
1557,Fayetteville Police Department,local_police,NC,37,North Carolina,NC02601,1,10
2832,Federal Bureau of Investigation,federal,AL,01,Alabama,ALFBIBH00;ALFBIM000,2,2
3351,Federal Bureau of Investigation,federal,AR,05,Arkansas,ARFBILR00,1,1
2986,Federal Bureau of Investigation,federal,AZ,04,Arizona,AZFBIPX00,1,1
3255,Federal Bureau of Investigation,federal,CA,06,California,CAFBILA00;CAFBISD00;CAFBISF00;CAFBISG00,4,2
3002,Federal Bureau of Investigation,federal,CT,09,Connecticut,CTFBINH00,1,1
2963,Federal Bureau of Investigation,federal,DE,10,Delaware,,0,1
2985,Federal Bureau of Investigation,federal,LA,22,Louisiana,LAFBIN000,1,2
3609,Federal Bureau of Investigation,federal,MA,25,Massachusetts,MAFBIBS00,1,1
2669,Federal Bureau of Investigation,federal,MD,24,Maryland,MDFBIBA00,1,1
10628,Federal Bureau of Investigation,federal,MN,27,Minnesota,MNFBIMP00,1,1
1200,Federal Bureau of Investigation,federal,MO,29,Missouri,MOFBIKC00;MOFBISL00,2,3
10629,Federal Bureau of Investigation,federal,MS,28,Mississippi,MSFBIJN00,1,1
2403,Federal Bureau of Investigation,federal,NC,37,North Carolina,NCFBICE00,1,1
3150,Federal Bureau of Investigation,federal,NJ,34,New Jersey,NJFBINK00,1,1
2385,Federal Bureau of Investigation,federal,NM,35,New Mexico,NMFBIAQ00,1,2
1991,Federal Bureau of Investigation,federal,NY,36,New York,NYFBIAL00;NYFBIBU00;NYFBINR00;NYFBINY00,4,2
2421,Federal Bureau of Investigation,federal,OH,39,Ohio,OH03144;OHFBICI00;OHFBICV00,3,3
546,Federal Bureau of Investigation,federal,PA,42,Pennsylvania,PAFBIPG00;PAFBIPH00,2,3
2379,Federal Bureau of Investigation,federal,SD,46,South Dakota,SDFBIRC00,1,1
10636,Federal Bureau of Investigation,federal,TN,47,Tennessee,TNFBIKX00;TNFBIME00,2,2
2692,Federal Bureau of Investigation,federal,TX,48,Texas,TXFBIDL00;TXFBIEP00;TXFBIH000;TXFBISA00,4,4
10637,Federal Bureau of Investigation,federal,UT,49,Utah,UTFBISU00,1,1
3333,Federal Bureau of Investigation,federal,VA,51,Virginia,VAFBIAX00;VAFBINF00;VAFBIRH00,3,1
1729,"Federal Bureau of Investigation, GA",federal,GA,13,Georgia,,0,1
1796,Federal Heights Police Department,local_police,CO,08,Colorado,CO00108,1,1
2049,Federal Protective Service,federal,TX,48,Texas,,0,1
1488,Federal Way Police Department,local_police,WA,53,Washington,WA01736,1,8
2834,Fentress County Sheriff's Department,sheriff,TN,47,Tennessee,TN02500,1,1
10660,Ferguson Police Department,local_police,MO,29,Missouri,MO09528,1,1
2825,Fernandina Beach Police Department,local_police,FL,12,Florida,FL04501,1,1
3164,Fife Police Department,local_police,WA,53,Washington,WA02707,1,1
567,Findlay Police Department,local_police,OH,39,Ohio,OH03201,1,2
1795,Fishers Police Department,local_police,IN,18,Indiana,IN02907,1,1
10732,Fitchburg Police Department,local_police,WI,55,Wisconsin,WI01370,1,1
1268,Flagstaff Police Department,local_police,AZ,04,Arizona,AZ00301,1,7
2828,Flathead County Sheriff's Office,sheriff,MT,30,Montana,MT01500,1,3
1950,Flatwoods Police Department,local_police,KY,21,Kentucky,KY04501,1,2
3336,Fleming County Sheriff's Office,sheriff,KY,21,Kentucky,KY03500,1,1
2244,Fletcher Police Department,local_police,NC,37,North Carolina,NC04503,1,1
2122,Flint Police Department,local_police,MI,26,Michigan,MI25398,1,3
91,Florence County Sheriff's Office,sheriff,SC,45,South Carolina,SC02100,1,6
1480,Florence Police Department,local_police,AL,01,Alabama,AL04101,1,3
10785,Florence Police Department,local_police,SC,45,South Carolina,SC02101,1,1
3640,Floresville Police Department,local_police,TX,48,Texas,TX24701,1,1
2199,Florida City Police Department,local_police,FL,12,Florida,FL01303,1,1
3528,Florida Department of Financial Services,state_other,FL,12,Florida,FL05230,1,1
3546,Florida Department of Law Enforcement Special Operations Team,state_police,FL,12,Florida,,0,1
